timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732810069313,1024,SignIn,500,Internal Server Error,Thread Group 1-93,text,false,,161,255,874,874,http://0.0.0.0:5002/v1/sign-in,1024,0,70
1732810069314,1024,SignIn,500,Internal Server Error,Thread Group 1-61,text,false,,161,255,872,872,http://0.0.0.0:5002/v1/sign-in,1024,0,70
1732810069381,956,SignIn,500,Internal Server Error,Thread Group 1-149,text,false,,161,255,872,872,http://0.0.0.0:5002/v1/sign-in,956,0,1
1732810069311,1027,SignIn,500,Internal Server Error,Thread Group 1-92,text,false,,161,255,872,872,http://0.0.0.0:5002/v1/sign-in,1027,0,71
1732810069582,756,SignIn,500,Internal Server Error,Thread Group 1-364,text,false,,161,255,872,872,http://0.0.0.0:5002/v1/sign-in,756,0,5
1732810069387,952,SignIn,500,Internal Server Error,Thread Group 1-49,text,false,,161,255,870,870,http://0.0.0.0:5002/v1/sign-in,952,0,1
1732810069311,1028,SignIn,500,Internal Server Error,Thread Group 1-39,text,false,,161,255,870,870,http://0.0.0.0:5002/v1/sign-in,1028,0,73
1732810069309,1030,SignIn,200,OK,Thread Group 1-20,text,true,,164,255,870,870,http://0.0.0.0:5002/v1/sign-in,1030,0,13
1732810069309,1029,SignIn,500,Internal Server Error,Thread Group 1-77,text,false,,161,255,870,870,http://0.0.0.0:5002/v1/sign-in,1029,0,75
1732810069386,952,SignIn,500,Internal Server Error,Thread Group 1-81,text,false,,161,255,869,869,http://0.0.0.0:5002/v1/sign-in,952,0,1
1732810069304,1035,SignIn,500,Internal Server Error,Thread Group 1-42,text,false,,161,255,867,867,http://0.0.0.0:5002/v1/sign-in,1035,0,84
1732810069309,1030,SignIn,500,Internal Server Error,Thread Group 1-35,text,false,,161,255,867,867,http://0.0.0.0:5002/v1/sign-in,1030,0,76
1732810069380,958,SignIn,500,Internal Server Error,Thread Group 1-157,text,false,,161,255,867,867,http://0.0.0.0:5002/v1/sign-in,958,0,1
1732810069387,953,SignIn,500,Internal Server Error,Thread Group 1-17,text,false,,161,255,866,866,http://0.0.0.0:5002/v1/sign-in,953,0,1
1732810069306,1025,SignIn,500,Internal Server Error,Thread Group 1-29,text,false,,161,255,866,866,http://0.0.0.0:5002/v1/sign-in,1025,0,81
1732810069336,1000,SignIn,200,OK,Thread Group 1-110,text,true,,164,255,880,880,http://0.0.0.0:5002/v1/sign-in,1000,0,13
1732810069580,750,SignIn,500,Internal Server Error,Thread Group 1-358,text,false,,161,255,865,865,http://0.0.0.0:5002/v1/sign-in,750,0,2
1732810069666,820,SignIn,500,Internal Server Error,Thread Group 1-448,text,false,,161,255,909,909,http://0.0.0.0:5002/v1/sign-in,820,0,2
1732810069402,1085,SignIn,500,Internal Server Error,Thread Group 1-183,text,false,,161,255,908,908,http://0.0.0.0:5002/v1/sign-in,1085,0,4
1732810069617,871,SignIn,500,Internal Server Error,Thread Group 1-395,text,false,,161,255,907,907,http://0.0.0.0:5002/v1/sign-in,871,0,26
1732810069570,919,SignIn,500,Internal Server Error,Thread Group 1-346,text,false,,161,255,907,907,http://0.0.0.0:5002/v1/sign-in,919,0,0
1732810069337,1152,SignIn,200,OK,Thread Group 1-107,text,true,,164,255,907,907,http://0.0.0.0:5002/v1/sign-in,1152,0,21
1732810069320,1170,SignIn,200,OK,Thread Group 1-21,text,true,,164,255,907,907,http://0.0.0.0:5002/v1/sign-in,1170,0,2
1732810069310,1179,SignIn,500,Internal Server Error,Thread Group 1-65,text,false,,161,255,907,907,http://0.0.0.0:5002/v1/sign-in,1179,0,74
1732810069645,844,SignIn,500,Internal Server Error,Thread Group 1-424,text,false,,161,255,906,906,http://0.0.0.0:5002/v1/sign-in,844,0,0
1732810069561,929,SignIn,500,Internal Server Error,Thread Group 1-343,text,false,,161,255,905,905,http://0.0.0.0:5002/v1/sign-in,929,0,1
1732810069405,1085,SignIn,500,Internal Server Error,Thread Group 1-179,text,false,,161,255,905,905,http://0.0.0.0:5002/v1/sign-in,1085,0,1
1732810069569,921,SignIn,500,Internal Server Error,Thread Group 1-349,text,false,,161,255,905,905,http://0.0.0.0:5002/v1/sign-in,921,0,1
1732810069645,845,SignIn,500,Internal Server Error,Thread Group 1-423,text,false,,161,255,905,905,http://0.0.0.0:5002/v1/sign-in,845,0,0
1732810069647,843,SignIn,500,Internal Server Error,Thread Group 1-431,text,false,,161,255,904,904,http://0.0.0.0:5002/v1/sign-in,843,0,1
1732810069643,847,SignIn,500,Internal Server Error,Thread Group 1-410,text,false,,161,255,904,904,http://0.0.0.0:5002/v1/sign-in,847,0,1
1732810069644,846,SignIn,500,Internal Server Error,Thread Group 1-414,text,false,,161,255,904,904,http://0.0.0.0:5002/v1/sign-in,846,0,0
1732810069642,848,SignIn,500,Internal Server Error,Thread Group 1-399,text,false,,161,255,903,903,http://0.0.0.0:5002/v1/sign-in,848,0,1
1732810069572,918,SignIn,500,Internal Server Error,Thread Group 1-348,text,false,,161,255,901,901,http://0.0.0.0:5002/v1/sign-in,918,0,4
1732810069645,845,SignIn,500,Internal Server Error,Thread Group 1-421,text,false,,161,255,900,900,http://0.0.0.0:5002/v1/sign-in,845,0,0
1732810069309,1182,SignIn,500,Internal Server Error,Thread Group 1-18,text,false,,161,255,900,900,http://0.0.0.0:5002/v1/sign-in,1182,0,77
1732810069304,1187,SignIn,500,Internal Server Error,Thread Group 1-45,text,false,,161,255,899,899,http://0.0.0.0:5002/v1/sign-in,1187,0,84
